#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
65,Captain Tsubasa: Rise of New Champions,"Sep 28, 2020",$59.99,N/A (N/A/75%),"50,000 .. 100,000",00:00 (00:00),TAMSOFT CORPORATION,BANDAI NAMCO Entertainment
66,Poker Night 2,"Apr 26, 2013",N/A,N/A (N/A/75%),"500,000 .. 1,000,000",00:07 (00:02),Telltale Games,Telltale Games
67,Mutant Football League,"Oct 31, 2017",$14.99,N/A (N/A/74%),"20,000 .. 50,000",00:00 (00:00),Digital Dreams Entertainment LLC,Digital Dreams Entertainment LLC
68,WWE 2K16,"Mar 10, 2016",N/A,N/A (N/A/74%),"100,000 .. 200,000",00:00 (00:00),"Visual Concepts, Yuke's Co., LTD",2K
69,NBA 2K20,"Sep 5, 2019",$59.99,N/A (N/A/74%),"5,000,000 .. 10,000,000",05:53 (04:09),Visual Concepts,2K
70,RUSH,"Jul 13, 2018",$19.99,N/A (N/A/73%),"20,000 .. 50,000",00:00 (00:00),The Binary Mill,The Binary Mill
71,Blood Bowl - Legendary Edition,"Oct 28, 2010",$9.99,N/A (N/A/73%),"200,000 .. 500,000",00:00 (00:00),Cyanide Studios,Cyanide Studios
72,Gas Guzzlers Extreme,"Oct 8, 2013",$24.99,N/A (N/A/73%),"200,000 .. 500,000",00:00 (00:00),Gamepires,Gamepires
73,Valentino Rossi The Game,"Jun 16, 2016",$14.99,N/A (N/A/72%),"20,000 .. 50,000",00:00 (00:00),Milestone S.r.l.,Milestone S.r.l.
74,Qvadriga,"Jun 13, 2014",$19.99,N/A (N/A/72%),"50,000 .. 100,000",00:00 (00:00),Turnopia,Slitherine Ltd.
75,Monster Energy Supercross - The Official Videogame 3,"Feb 4, 2020",$39.99,N/A (N/A/72%),"20,000 .. 50,000",00:00 (00:00),Milestone S.r.l.,Milestone S.r.l.
76,The Golf Club 2019 featuring PGA TOUR,"Aug 28, 2018",$49.99,N/A (N/A/72%),"50,000 .. 100,000",00:00 (00:00),HB Studios Multimedia Ltd.,2K
77,DIRT 5,"Nov 5, 2020",$59.99,N/A (N/A/72%),"100,000 .. 200,000",00:00 (00:00),Codemasters,"Codemasters, Electronic Arts"
78,Steep,"Dec 2, 2016",$29.99,N/A (N/A/72%),"1,000,000 .. 2,000,000",01:20 (00:26),"Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev",Ubisoft
79,Need for Speed Heat,"Jun 4, 2020",$69.99,N/A (N/A/72%),"1,000,000 .. 2,000,000",03:16 (03:30),Ghost Games,Electronic Arts
80,Pro Cycling Manager 2017,"Jun 15, 2017",$9.99,N/A (N/A/71%),"50,000 .. 100,000",04:19 (04:19),Cyanide Studio,Focus Home Interactive
81,Poker Night at the Inventory,"Nov 22, 2010",N/A,N/A (N/A/71%),"1,000,000 .. 2,000,000",00:36 (00:12),Telltale Games,Soldak Entertainment
82,The Golf Club,"Aug 19, 2014",$29.99,N/A (N/A/70%),"50,000 .. 100,000",00:00 (00:00),HB Studios,HB Studios
83,Quantum League,"Apr 15, 2021",$9.99,N/A (N/A/70%),"100,000 .. 200,000",00:00 (00:00),Nimble Giant Entertainment,Nimble Giant Entertainment
84,RIDE 3,"Nov 30, 2018",$39.99,N/A (N/A/70%),"100,000 .. 200,000",00:00 (00:00),Milestone S.r.l.,Milestone S.r.l.
85,Ultimate Fishing Simulator,"Aug 30, 2018",$19.99,N/A (N/A/70%),"200,000 .. 500,000",00:00 (00:00),Bit Golem,Ultimate Games S.A.
